Accounts,12/31/23,12/31/24,Diff,검증,영업활동으로 인한 현금흐름,,,,,,투자활동으로 인한 현금흐름,,,,재무활동으로 인한 현금흐름,,,,현금유출입없는 거래,,,
,Audited,Audited,,,내역,지출없는 비용,내역,유입없는 수익,내역,자산부채증감,내역,현금유입,내역,현금유출,내역,현금유입,내역,현금유출,내역,차변,내역,대변
예수금,"25,742,700","28,328,910","2,586,210",-,,,,,예수금의 증가(감소),"2,586,210",,,,,,,,,,,,
부가세예수금,"439,021,460","389,185,820","-49,835,640",-,,,,,부가세예수금의 증가(감소),"-49,835,640",,,,,,,,,,,유무형자산취득관련 미지급금,
미지급세금,"1,395,433,414","1,250,538,146","-144,895,268",-,,,,,당기법인세부채의 증가(감소),"-144,895,268",,,,,,,,,,,,
연차수당부채,"136,930,131","137,233,240","303,109",-,,,,,미지급비용의 증가(감소),"303,109",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ⅱ.비유동부채,"46,600,000","46,600,000",,,,,,,,,,,,,,,,,,,,
임대보증금,"20,000,000","20,000,000",-,-,,,,,,,,,,,임대보증금의 증가,,,,,,,
기타보증금,"26,600,000","26,600,000",-,-,,,,,기타보증금의증가(감소),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
부채총계,"2,273,033,563","2,576,488,253",,,,,,,,,,,,,,,,,,,,
,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ⅰ.자본금,"51,149,470,000","51,149,470,000",,,,,,,,,,,,,,,,,,,,
자본금,"51,149,470,000","51,149,470,000",-,-,,,,,,,,,,,,,,,,,,
Ⅱ.자본잉여금,-,-,,,,,,,,,,,,,,,,,,,,
Ⅲ.자본조정,-,-,,,,,,,,,,,,,,,,,,,,
Ⅳ.기타포괄손익누계액,-,-,,,,,,,,,,,,,,,,,,,,
Ⅴ.이익잉여금,"33,001,525,639","30,868,660,162",,,,,,,,,,,,,,,,,,,,
이월이익잉여금,"25,401,525,639","22,068,660,162","-3,332,865,477",0,,,,,당기순이익,"9,867,134,523",,,,,,,배당금의 지급,"12,000,000,000",이익준비금전입,"1,200,000,000",,
법정적립금,"7,600,000,000","8,800,000,000","1,200,000,000",-,,,,,,,,,,,,,,,,,이익준비금전입,"1,200,000,000"
,,,,,,,,,,,,,,,,,,,,,,
자본총계,"84,150,995,639","82,018,130,162",,,,,,,,,,,,,,,,,,,,
부채및자본총계,"86,424,029,202","84,594,618,415",,,,,,,,,,,,,,,,,,,,
,,,,,,"1,397,446,508",,0,,"250,516,838",,"2,000,000,000",,"1,206,174,237",,0,,"12,000,000,000",,"1,291,050,000",,"1,291,050,000"
차대변 검증,TRUE,TRUE,,,,,,,영업활동현금흐름,"11,515,097,869",,,,"793,825,763",,,,"-12,000,000,000",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
